,comment,comment_id,author_name,reply_count,like_count,date,total_reply_counts
69,"Idk I was fine with Dany killing King's Landing from a plot perspective, because she said to Jon during the feast after the Long Night that nobody loves her there, and that nobody wants her like they want Jon etc, so her going on a rampage, which btw, her adrenaline probably was at an all time high, and making that decision felt very realistic, given her genocidal tendencies and her entitlement complex. I felt her rash decision didn't necessarily need some epic build-up, because it was already there. Sure, expand on it all you want, but the way that particular scene was executed made sense to me",UgyTePmE3pInqnR8zgh4AaABAg,Great Cold Emptiness,0,0,2021-06-07T04:28:17Z,0
70,"A chain is only as strong as it’s weakest link. Unfortunately, season 8 ruined the chain for me, but I am re-reading the books in hopes that Winds of Winter finally releases this year.",Ugypk19NzBuWP3aU1DB4AaABAg,Dwight Schrute,0,1,2021-06-06T22:35:29Z,0
71,The White Walkers were stupidly overpowered,UgyPVUmjyDIRHX8t6Xh4AaABAg,czthjvv,0,2,2021-06-06T01:01:52Z,0
72,"The writers forgot how to tell a story. Did they have financial worries, or something? Were they just tired? Getting tired and messing up your work of art is what an uncommitted artist will let himself\herself get away with. To be completely satisfying, a piece of music has to return to its tonic note; if it doesn't, you let your audience (and the work of art) down.
          If Daenerys HAS to go mad (for some weird reason) then she needs a whole episode to explain that (as Brandon Gathagan writes, below). A great ending would have been to have Daenerys go mad (if she had to), had John Snow kill her to save the people of King's Landing and the world, and then sit on the Iron Throne as king. THAT would have been a tragic, but satisfying ending!!!",UgzFs6ecxhXJ_5b0eHR4AaABAg,Michael John Angel,0,1,2021-06-05T13:41:10Z,0
73,"Man I know this review came out two years ago but what about those children of the forest folks, their character design became so lame from one season to the next haha",UgxdklmJsdbevGwFNPV4AaABAg,J,0,2,2021-06-02T18:17:34Z,0
74,"They beat the White Walkers before Cersei. Therefore, the throne was more important, than the Army of the Dead.",UgxM-Jo42ur6pvqmSp94AaABAg,KiratheRenegade,0,2,2021-06-02T06:25:17Z,0
75,"This seemed like a case of outside stuff impacting internal story stuff. So George R. R. Martin had a long time to finish the show in the books but, at the same time, we can't push him to work if he doesn't want to for us. The showrunners clearly seemed to want out and just did what they thought was right. There were many objectively bad elements though like the Golden Army standing outside of the castle aside from the bad decisions made for story which caused it to be worse.",UgyKxU4O0zG197oAQx14AaABAg,SoulfulSoulfury,0,0,2021-06-01T19:05:45Z,0
76,My heart hurts every time I hear about this show. I've seriously only watched 3-6 ONE TIME. Season 8 ep 2 is easily the last episode that felt like GOT. Spent 8 years on this show smh breaking bad would've never done this to me,UgyCrqMUYq08Zx0YVh94AaABAg,Alex Yeezus,0,4,2021-05-31T13:57:30Z,0
77,"The somber yellow neatly bless because bengal adversely develop afore a bloody magic. toothsome, dapper october",Ugx8ZToLcgn3J749-wF4AaABAg,Hellen Maumo,0,0,2021-05-30T23:12:41Z,0
78,The sea manatees from the South Park episode parodying Family guy could have put together a better finale.,UgxR1p7KA8bA1OUwZmd4AaABAg,Michael pellegrini,0,1,2021-05-30T18:43:06Z,0
79,I'll never forgive them for what they did to Jaime's character.,Ugy8hV6CN4f7WWF4IBt4AaABAg,Zane Pena,0,0,2021-05-29T23:59:32Z,0
80,how can Jaqen Hghar not be your favorite character?,Ugy2a_ErR8A4Wu-YX7J4AaABAg,Perzonne,0,0,2021-05-29T07:01:12Z,0
81,"Watched from day 1, week by week.  Overall didn't hate season 8.  Yes it was rushed but Dani's turn was not out of character for me or didn't need more episodes (just watch some reactions of the bells scene and see how many people say ""don't do it"", it's  a lot, which proves it's not out of character,  just that she was a fan favorite).  She didn't need more fleshing out, when someone's snaps it just happens without rhyme or reason, I don't understand why people need more reasoning, without POV chapters like in the books its kinda hard to convey reasoning.  Jaime was my main disappointment, sleep with Brienne just to go back to Cersie, he must of snapped too.  Sansa and Brienne were my least favorite characters but Bran's story arc was boring af.",UgxNhTDAabXDrP-fOmJ4AaABAg,jojothatguy,0,0,2021-05-29T06:14:50Z,0
82,season 8 made it waste of time,UgxOOhGrUYKmCSCMyzV4AaABAg,Dennis White,0,0,2021-05-28T20:43:31Z,0
83,"It would be like a master painter, painting a portrait, but letting his/her 5 year old niece draw the face.",UgwHyTx1i-1AB6aJM7J4AaABAg,Riptide99,0,0,2021-05-26T21:21:00Z,0
84,"Like it or not, Bran was the only character who had ""no skin in the game [of thrones]"". Yes, he had been mamed by Jamie, but as he kept saying truthfully, he was no longer that person. Bran was -- like it or not - the only character who would have no old grudges to settle or any old enemies seeking to settle any. As he had become something else, there was not even a grudge against Jamie when the two of them finally met again. As for Dany, she was always FATED to become ""the mad queen"". Jamie, after all, was justified in breaking his sworn oath to protect the very kind he killed because the king was mad, wishing to ""burn them all"" for no reason other than that madness. Never once did Dany even flinch when she first ordered her dragons to burn her perceived enemies. If her madness had demanded more to ""earn"" her actions, then Jon Snow would not have been justified in killing her. He was not her murderer so much as he was the liberator of the people, just as Jamie had been. The ""game of thrones"" was over the moment that Cersei determined that all of the people of Kings Landing could die for all she cared. She was the ultimate narcissist. Tyrion pleaded with her. Then he pleaded with Dany. And yet Cersie was unmovable and Dany was unstoppable. This was WHO they are. It should have been no surprise that death and destruction would be the only outcome. Unfortunately, however, we are conditioned to accept only Happy Hollywood Endings. Those expecting one here haven't been paying to the rest of Martin's story.",UgwRB-x0tDkGWrrE09h4AaABAg,Michael,121,3,2021-05-26T14:26:22Z,121
85,I reckon Chris gave GoT an A,UgyeDEeBZK-lJ6lz7R14AaABAg,Sach Harshan,0,0,2021-05-25T02:40:33Z,0
86,This dudes an idiot. Battle of the bastards was one of my least favourite episodes. Full of plot armour and stupid illogical decisions that didn't happen in earlier seasons. Casual,UgytOfJ_Gszc3iN-8GJ4AaABAg,D W,0,1,2021-05-25T02:35:43Z,0
